Length,price_clean,cluster
4.0,3337.0,0
4.0,3490.0,0
3.69,3770.0,0
3.0,25900.0,0
3.55,3399.0,0
4.03,3650.0,0
6.2,3600.0,0
3.0,24800.0,0
3.64,3333.0,0
4.35,3300.0,0
4.35,3500.0,0
4.13,3480.0,0
4.7,3500.0,0
4.4,4600.0,0
3.72,4500.0,0
3.88,4400.0,0
4.31,4380.0,0
4.0,30000.0,0
8.0,4000.0,0
6.37,4000.0,0
3.55,3999.0,0
3.78,4267.0,0
4.31,3930.0,0
5.6,3900.0,0
6.53,3900.0,0
5.7,4200.0,0
4.0,4200.0,0
3.55,4030.0,0
5.6,4000.0,0
4.01,3975.0,0
4.84,3950.0,0
5.05,3900.0,0
3.81,3890.0,0
3.55,3850.0,0
4.41,3800.0,0
6.2,3800.0,0
5.4,3800.0,0
3.93,3790.0,0
4.4,3500.0,0
4.0,3500.0,0
4.36,3500.0,0
4.3,5500.0,0
5.2,5500.0,0
4.4,5500.0,0
5.5,5500.0,0
5.85,5900.0,0
4.3,5450.0,0
4.45,5850.0,0
4.01,5399.0,0
4.3,39900.0,0
4.15,5700.0,0
4.5,5250.0,0
4.2,5200.0,0
4.05,5500.0,0
4.0,5500.0,0
4.51,7290.0,0
3.95,7200.0,0
5.0,49500.0,0
5.5,6590.0,0
6.28,6500.0,0
5.7,6500.0,0
5.0,6500.0,0
8.0,6500.0,0
4.5,6500.0,0
6.67,6500.0,0
4.75,6490.0,0
3.2,7000.0,0
7.26,7000.0,0
4.15,7000.0,0
5.2,7800.0,0
4.28,8300.0,0
6.16,8200.0,0
4.5,7640.0,0
4.45,8155.0,0
4.5,7500.0,0
8.5,7500.0,0
5.8,7500.0,0
5.7,7500.0,0
5.5,7500.0,0
6.4,7500.0,0
5.23,7500.0,0
5.8,7500.0,0
4.4,7500.0,0
4.4,8790.0,0
5.85,9400.0,0
5.0,8600.0,0
5.3,8600.0,0
4.8,9265.0,0
5.18,9200.0,0
5.53,8500.0,0
4.0,8500.0,0
5.0,8500.0,0
5.3,8500.0,0
5.74,8500.0,0
5.8,8500.0,0
3.1,8500.0,0
5.3,8500.0,0
7.9,8500.0,0
3.38,10500.0,0
8.5,9750.0,0
4.5,10500.0,0
10.28,10500.0,0
4.45,10450.0,0
5.5,9650.0,0
6.0,10400.0,0
5.65,9599.0,0
4.88,9575.0,0
4.51,10350.0,0
4.8,9553.0,0
8.4,9500.0,0
5.7,9500.0,0
6.8,9500.0,0
9.0,9500.0,0
3.99,9500.0,0
6.18,11000.0,0
7.0,11000.0,0
6.0,11000.0,0
4.43,10990.0,0
4.99,10115.0,0
4.5,10900.0,0
5.51,10900.0,0
8.5,10000.0,0
7.25,10000.0,0
5.9,10000.0,0
7.8,10000.0,0
12.0,10000.0,0
12.5,10000.0,0
7.15,10000.0,0
7.02,10000.0,0
7.02,10000.0,0
6.3,11000.0,0
4.9,11000.0,0
6.5,11000.0,0
7.03,11000.0,0
5.79,11000.0,0
5.2,11000.0,0
6.13,11000.0,0
7.8,11000.0,0
6.0,11000.0,0
7.4,11000.0,0
7.62,11000.0,0
5.07,10999.0,0
5.1,10999.0,0
5.2,10999.0,0
4.7,10990.0,0
6.7,10990.0,0
7.75,12000.0,0
6.43,12000.0,0
7.0,12000.0,0
6.5,12000.0,0
6.16,12000.0,0
7.2,12000.0,0
7.75,12000.0,0
4.6,11990.0,0
5.0,11990.0,0
5.3,12950.0,0
4.0,89000.0,0
4.0,89000.0,0
5.0,12900.0,0
4.5,12900.0,0
5.8,13888.0,0
4.8,12800.0,0
6.4,12800.0,0
4.9,12770.0,0
4.0,94990.0,0
5.7,12750.0,0
5.5,12680.0,0
4.24,13690.0,0
5.0,12500.0,0
8.5,12500.0,0
14.7,12500.0,0
5.6,12500.0,0
7.2,12500.0,0
